image_id,acc_clean,acc_attacked,logits_sigmoid_mean,logits_abs_mean,perfect_recovery_clean,perfect_recovery_attacked
000000173091.jpg,0.5199999809265137,0.5199999809265137,0.5011017918586731,0.029566530138254166,0.0,0.0
000000173183.jpg,0.5199999809265137,0.5199999809265137,0.5011085867881775,0.029577596113085747,0.0,0.0
000000173302.jpg,0.5199999809265137,0.5199999809265137,0.5011453032493591,0.0296188872307539,0.0,0.0
000000173371.jpg,0.5199999809265137,0.5199999809265137,0.5011157989501953,0.029588846489787102,0.0,0.0
000000173383.jpg,0.5199999809265137,0.5199999809265137,0.5011313557624817,0.029624968767166138,0.0,0.0
000000173799.jpg,0.5199999809265137,0.5199999809265137,0.5011216998100281,0.029610127210617065,0.0,0.0
000000173830.jpg,0.5199999809265137,0.5199999809265137,0.5011129975318909,0.029560154303908348,0.0,0.0
000000174004.jpg,0.5199999809265137,0.5199999809265137,0.5011324286460876,0.029615363106131554,0.0,0.0
000000174018.jpg,0.5199999809265137,0.5199999809265137,0.5011160373687744,0.029609637334942818,0.0,0.0
000000174123.jpg,0.5199999809265137,0.5199999809265137,0.5011186599731445,0.029612038284540176,0.0,0.0
000000174231.jpg,0.5199999809265137,0.5199999809265137,0.5011340379714966,0.029604004696011543,0.0,0.0
000000174371.jpg,0.5199999809265137,0.5199999809265137,0.5011281371116638,0.02961355447769165,0.0,0.0
000000174482.jpg,0.5199999809265137,0.5199999809265137,0.5011175870895386,0.02959187515079975,0.0,0.0
000000175251.jpg,0.5199999809265137,0.5199999809265137,0.5011320114135742,0.029622869566082954,0.0,0.0
000000175364.jpg,0.5199999809265137,0.5199999809265137,0.5011314153671265,0.029601123183965683,0.0,0.0
000000175387.jpg,0.5199999809265137,0.5199999809265137,0.5011246204376221,0.029589232057332993,0.0,0.0
000000175438.jpg,0.5199999809265137,0.5199999809265137,0.5011225342750549,0.029593562707304955,0.0,0.0
000000175443.jpg,0.5199999809265137,0.5199999809265137,0.5011560320854187,0.029640870168805122,0.0,0.0
000000175535.jpg,0.5199999809265137,0.5199999809265137,0.5011204481124878,0.029595736414194107,0.0,0.0
000000176037.jpg,0.5199999809265137,0.5199999809265137,0.5011539459228516,0.029623689129948616,0.0,0.0
000000176232.jpg,0.5199999809265137,0.5199999809265137,0.5010993480682373,0.029559234157204628,0.0,0.0
000000176446.jpg,0.5199999809265137,0.5199999809265137,0.5011436343193054,0.02961144782602787,0.0,0.0
000000176606.jpg,0.5199999809265137,0.5199999809265137,0.5011290907859802,0.02960689552128315,0.0,0.0
000000176634.jpg,0.5199999809265137,0.5199999809265137,0.5011259913444519,0.029606932774186134,0.0,0.0
000000176701.jpg,0.5199999809265137,0.5199999809265137,0.5011389255523682,0.029598554596304893,0.0,0.0
000000176778.jpg,0.5199999809265137,0.5199999809265137,0.5011357665061951,0.029604854062199593,0.0,0.0
000000176799.jpg,0.5199999809265137,0.5199999809265137,0.5011419057846069,0.02961363084614277,0.0,0.0
000000176847.jpg,0.5199999809265137,0.5199999809265137,0.5011245012283325,0.029615070670843124,0.0,0.0
000000176857.jpg,0.5199999809265137,0.5199999809265137,0.5011247396469116,0.029603060334920883,0.0,0.0
000000176901.jpg,0.5199999809265137,0.5199999809265137,0.5011137127876282,0.02957983873784542,0.0,0.0
000000177015.jpg,0.5199999809265137,0.5199999809265137,0.5011548399925232,0.02963160164654255,0.0,0.0
000000177065.jpg,0.5199999809265137,0.5199999809265137,0.5011188387870789,0.029595814645290375,0.0,0.0
000000177213.jpg,0.5199999809265137,0.5199999809265137,0.5011311173439026,0.029628269374370575,0.0,0.0
000000177357.jpg,0.5199999809265137,0.5199999809265137,0.5011138319969177,0.029584212228655815,0.0,0.0
000000177383.jpg,0.5199999809265137,0.5199999809265137,0.5011458992958069,0.02963489666581154,0.0,0.0
000000177489.jpg,0.5199999809265137,0.5199999809265137,0.5011305809020996,0.02960466966032982,0.0,0.0
000000177539.jpg,0.5199999809265137,0.5199999809265137,0.5011052489280701,0.029571805149316788,0.0,0.0
000000177714.jpg,0.5199999809265137,0.5199999809265137,0.5011376738548279,0.02964034490287304,0.0,0.0
000000177861.jpg,0.5199999809265137,0.5199999809265137,0.5011373162269592,0.029603229835629463,0.0,0.0
000000177893.jpg,0.5199999809265137,0.5199999809265137,0.5011056661605835,0.029561728239059448,0.0,0.0
000000177934.jpg,0.5199999809265137,0.5199999809265137,0.5011262893676758,0.029597030952572823,0.0,0.0
000000177935.jpg,0.5199999809265137,0.5199999809265137,0.501116156578064,0.029597725719213486,0.0,0.0
000000178028.jpg,0.5199999809265137,0.5199999809265137,0.5011572241783142,0.029641512781381607,0.0,0.0
000000178469.jpg,0.5199999809265137,0.5199999809265137,0.5011247396469116,0.029596248641610146,0.0,0.0
000000178618.jpg,0.5199999809265137,0.5199999809265137,0.5011149048805237,0.029601294547319412,0.0,0.0
000000178744.jpg,0.5199999809265137,0.5199999809265137,0.5011109709739685,0.02957770973443985,0.0,0.0
000000178982.jpg,0.5199999809265137,0.5199999809265137,0.5011733770370483,0.02966642752289772,0.0,0.0
000000179112.jpg,0.5199999809265137,0.5199999809265137,0.5011311173439026,0.02964424528181553,0.0,0.0
000000179141.jpg,0.5199999809265137,0.5199999809265137,0.5011692047119141,0.02966688573360443,0.0,0.0
000000179174.jpg,0.5199999809265137,0.5199999809265137,0.5011253356933594,0.029592374339699745,0.0,0.0
000000179214.jpg,0.5199999809265137,0.5199999809265137,0.5011063814163208,0.029590385034680367,0.0,0.0
000000179265.jpg,0.5199999809265137,0.5199999809265137,0.5011305212974548,0.029605571180582047,0.0,0.0
000000179285.jpg,0.5199999809265137,0.5199999809265137,0.5011430382728577,0.029624169692397118,0.0,0.0
000000179392.jpg,0.5199999809265137,0.5199999809265137,0.5011577606201172,0.029618626460433006,0.0,0.0
000000179487.jpg,0.5199999809265137,0.5199999809265137,0.5011398792266846,0.02962537482380867,0.0,0.0
000000179642.jpg,0.5199999809265137,0.5199999809265137,0.5011289715766907,0.02961532585322857,0.0,0.0
000000179653.jpg,0.5199999809265137,0.5199999809265137,0.5011310577392578,0.029584191739559174,0.0,0.0
000000179765.jpg,0.5199999809265137,0.5199999809265137,0.501131534576416,0.029606027528643608,0.0,0.0
000000179898.jpg,0.5199999809265137,0.5199999809265137,0.5011317729949951,0.029612673446536064,0.0,0.0
000000180011.jpg,0.5199999809265137,0.5199999809265137,0.501140296459198,0.029615825042128563,0.0,0.0
000000180101.jpg,0.5199999809265137,0.5199999809265137,0.501135528087616,0.029636872932314873,0.0,0.0
000000180135.jpg,0.5099999904632568,0.5099999904632568,0.5011674165725708,0.029673757031559944,0.0,0.0
000000180188.jpg,0.5199999809265137,0.5199999809265137,0.5011188983917236,0.02956862933933735,0.0,0.0
000000180296.jpg,0.5199999809265137,0.5199999809265137,0.5011417269706726,0.02960815280675888,0.0,0.0
000000180383.jpg,0.5199999809265137,0.5199999809265137,0.5011448264122009,0.029623594135046005,0.0,0.0
000000180487.jpg,0.5199999809265137,0.5199999809265137,0.5011383891105652,0.029610132798552513,0.0,0.0
000000180560.jpg,0.5199999809265137,0.5199999809265137,0.5011592507362366,0.029627373442053795,0.0,0.0
000000180751.jpg,0.5199999809265137,0.5199999809265137,0.5011283755302429,0.029606541618704796,0.0,0.0
000000180792.jpg,0.5199999809265137,0.5199999809265137,0.5011188983917236,0.02958504855632782,0.0,0.0
