attack_name,mean_acc,std_acc,median_acc,min_acc,max_acc,perfect_recovery_pct,mean_psnr,std_psnr
No Attack,84.74999657273293,1.6147744337840484,84.99999642372131,75.0,85.999995470047,0.0,30.97982045173645,2.7109393407292584
Blur σ=1.0,84.17499709129333,1.9168648452170811,83.99999737739563,68.00000071525574,85.999995470047,0.0,27.22805100440979,2.641889766667734
Blur σ=2.0,84.17499709129333,1.9168648452170811,83.99999737739563,68.00000071525574,85.999995470047,0.0,27.228051023483275,2.641889794396212
JPEG Q=75,83.87499731779099,2.213451965594452,83.99999737739563,68.00000071525574,85.999995470047,0.0,29.207578020095823,2.5420694263329
JPEG Q=50,83.41999772191048,2.4111397941112345,83.99999737739563,62.00000047683716,85.999995470047,0.0,28.32047611236572,2.47392233267729
Gaussian Noise σ=0.05,84.85999646782875,1.6883116263256976,85.999995470047,74.00000095367432,85.999995470047,0.0,28.323999309539794,1.667565059700605
Crop 10%,83.5249975323677,2.8016728524659475,83.99999737739563,53.999996185302734,85.999995470047,0.0,13.173017621040344,2.4211085693608694
Brightness ×1.3,79.50999820232391,6.870217958717532,81.00000023841858,43.99999976158142,85.999995470047,0.0,14.631547055244447,6.027256409090307
Rotation 15°,82.23999825119972,2.6967385917462723,81.99999928474426,53.999996185302734,85.999995470047,0.0,12.709409375190734,2.0880555339832374
Combined Attack,83.76499739289284,2.4616599645666986,83.99999737739563,62.00000047683716,85.999995470047,0.0,26.69236686706543,2.5461958186778375
