image_id,loss_secret,loss_image
000000173091.jpg,0.6949400305747986,5.6066935940179974e-05
000000173183.jpg,0.6949388980865479,5.533147123060189e-05
000000173302.jpg,0.6950060129165649,5.558116754400544e-05
000000173371.jpg,0.6949671506881714,5.586276529356837e-05
000000173383.jpg,0.6950049996376038,5.5440319556510076e-05
000000173799.jpg,0.694993257522583,5.5811964557506144e-05
000000173830.jpg,0.6949253082275391,5.604035686701536e-05
000000174004.jpg,0.6950057148933411,5.552982838707976e-05
000000174018.jpg,0.6949871778488159,5.569522545556538e-05
000000174123.jpg,0.6949787735939026,5.57825987925753e-05
000000174231.jpg,0.6949902176856995,5.4433134209830314e-05
000000174371.jpg,0.6949886679649353,5.546672036871314e-05
000000174482.jpg,0.6949723362922668,5.548370972974226e-05
000000175251.jpg,0.6949992179870605,5.5694217735435814e-05
000000175364.jpg,0.6949827671051025,5.467935625347309e-05
000000175387.jpg,0.6949580311775208,5.577470801654272e-05
000000175438.jpg,0.6949766278266907,5.5798729590605944e-05
000000175443.jpg,0.6950294375419617,5.537591641768813e-05
000000175535.jpg,0.6949673295021057,5.5826210882514715e-05
000000176037.jpg,0.6950196623802185,5.54767029825598e-05
000000176232.jpg,0.6949096322059631,5.2611569117289037e-05
000000176446.jpg,0.6950011253356934,5.513686846825294e-05
000000176606.jpg,0.6949905157089233,5.5766256991773844e-05
000000176634.jpg,0.6949918866157532,5.57496641704347e-05
000000176701.jpg,0.6949856281280518,5.569236964220181e-05
000000176778.jpg,0.6949921250343323,5.563796003116295e-05
000000176799.jpg,0.6950016617774963,5.558436896535568e-05
000000176847.jpg,0.6950022578239441,5.5786658776924014e-05
000000176857.jpg,0.6949834823608398,5.578724085353315e-05
000000176901.jpg,0.6949577331542969,5.5883425375213847e-05
000000177015.jpg,0.6950221061706543,5.545976455323398e-05
000000177065.jpg,0.6949671506881714,5.583623351412825e-05
000000177213.jpg,0.6949801445007324,5.343539669411257e-05
000000177357.jpg,0.6949682235717773,5.5886568588903174e-05
000000177383.jpg,0.695012629032135,5.453251287690364e-05
000000177489.jpg,0.6949828267097473,5.572095324168913e-05
000000177539.jpg,0.6949370503425598,5.5882916058180854e-05
000000177714.jpg,0.6950182914733887,5.112092912895605e-05
000000177861.jpg,0.6949840188026428,5.5664433602942154e-05
000000177893.jpg,0.694927990436554,5.341779251466505e-05
000000177934.jpg,0.694964587688446,5.5353171774186194e-05
000000177935.jpg,0.6949812173843384,5.584571044892073e-05
000000178028.jpg,0.6950168609619141,5.440040695248172e-05
000000178469.jpg,0.6949679255485535,5.577968477155082e-05
000000178618.jpg,0.6949785947799683,5.585817780229263e-05
000000178744.jpg,0.6949529647827148,5.566255276789889e-05
000000178982.jpg,0.6950289607048035,5.4174335673451424e-05
000000179112.jpg,0.6950084567070007,4.9254529585596174e-05
000000179141.jpg,0.6950218081474304,4.8266327212331817e-05
000000179174.jpg,0.6949747800827026,5.579611752182245e-05
000000179214.jpg,0.6949532628059387,5.5721462558722124e-05
000000179265.jpg,0.6949841380119324,5.555091775022447e-05
000000179285.jpg,0.695029079914093,5.563252489082515e-05
000000179392.jpg,0.6950027942657471,5.4025578720029444e-05
000000179487.jpg,0.6950038075447083,5.537372635444626e-05
000000179642.jpg,0.6949877738952637,5.572669761022553e-05
000000179653.jpg,0.6949751377105713,5.518397665582597e-05
000000179765.jpg,0.6949949264526367,5.567757034441456e-05
000000179898.jpg,0.6949892044067383,5.556846008403227e-05
000000180011.jpg,0.6950038075447083,5.563974264077842e-05
000000180101.jpg,0.69500732421875,5.50721597392112e-05
000000180135.jpg,0.6950158476829529,3.4903507184935734e-05
000000180188.jpg,0.6949391961097717,5.243949999567121e-05
000000180296.jpg,0.694989025592804,5.519441037904471e-05
000000180383.jpg,0.6950180530548096,5.5595555750187486e-05
000000180487.jpg,0.6949898600578308,5.531396163860336e-05
000000180560.jpg,0.6950082778930664,5.5275053455261514e-05
000000180751.jpg,0.6949871778488159,5.57072416995652e-05
000000180792.jpg,0.694972813129425,5.5871380027383566e-05
000000180798.jpg,0.69496750831604,5.583498204941861e-05
000000180878.jpg,0.6950007677078247,5.405733099905774e-05
000000181303.jpg,0.6950109601020813,5.560306817642413e-05
000000181421.jpg,0.6950039267539978,5.57296079932712e-05
000000181499.jpg,0.6949803829193115,5.5644253734499216e-05
000000181542.jpg,0.694972038269043,5.536382013815455e-05
000000181666.jpg,0.6949601769447327,5.451979814097285e-05
000000181753.jpg,0.6950076222419739,5.563496597460471e-05
000000181796.jpg,0.6949790716171265,5.572725785896182e-05
000000181816.jpg,0.6949509978294373,5.592419984168373e-05
000000181859.jpg,0.6949869394302368,5.587949635810219e-05
000000181969.jpg,0.6950373649597168,5.551303911488503e-05
000000182021.jpg,0.6949707865715027,5.5957916629267856e-05
000000182155.jpg,0.69498211145401,5.579584831139073e-05
000000182162.jpg,0.6949993968009949,5.566629988607019e-05
000000182202.jpg,0.6949518918991089,5.593877722276375e-05
000000182417.jpg,0.6949654817581177,5.5908309150254354e-05
000000182441.jpg,0.694934070110321,5.6047058023978025e-05
000000182611.jpg,0.6950051188468933,5.551060166908428e-05
000000182805.jpg,0.6949957609176636,5.560317003983073e-05
000000182923.jpg,0.6949856877326965,5.58495448785834e-05
000000183049.jpg,0.6949926018714905,5.576142211793922e-05
000000183104.jpg,0.6949969530105591,5.5650947615504265e-05
000000183127.jpg,0.6949779987335205,5.580614015343599e-05
000000183246.jpg,0.6949177384376526,5.5179796618176624e-05
000000183391.jpg,0.6949864625930786,5.560833960771561e-05
000000183437.jpg,0.6949912905693054,5.575828981818631e-05
000000183500.jpg,0.6949218511581421,5.5670487199677154e-05
000000183648.jpg,0.6949978470802307,5.5645894462941214e-05
000000183675.jpg,0.6949955821037292,5.56946724827867e-05
000000183709.jpg,0.6949813961982727,5.523907020688057e-05
000000183716.jpg,0.6950128078460693,5.5061635066522285e-05
000000183965.jpg,0.6950117349624634,4.972212991560809e-05
000000184321.jpg,0.6949986219406128,5.559924102271907e-05
000000184324.jpg,0.6949837803840637,5.536735989153385e-05
000000184338.jpg,0.6949954628944397,5.573193629970774e-05
000000184384.jpg,0.6949962377548218,5.518769467016682e-05
000000184400.jpg,0.6949829459190369,5.5735970818204805e-05
000000184611.jpg,0.6950039267539978,5.5513297411380336e-05
000000184762.jpg,0.6950251460075378,5.419953231466934e-05
000000184791.jpg,0.6949754357337952,5.5839045671746135e-05
000000184978.jpg,0.6949378252029419,5.601478915195912e-05
000000185157.jpg,0.6949569582939148,5.562118531088345e-05
000000185250.jpg,0.6950079798698425,5.5575568694621325e-05
000000185292.jpg,0.694957435131073,5.5887630878714845e-05
000000185409.jpg,0.694996178150177,5.5855005484772846e-05
000000185472.jpg,0.6949725151062012,5.534415686270222e-05
000000185473.jpg,0.6950286626815796,5.420665183919482e-05
000000185599.jpg,0.6950022578239441,5.111092104925774e-05
000000185802.jpg,0.6949701309204102,5.499110193341039e-05
000000185890.jpg,0.6950218081474304,5.545096064452082e-05
000000185950.jpg,0.6949341297149658,5.544510713662021e-05
000000186042.jpg,0.6949737668037415,5.283432255964726e-05
000000186282.jpg,0.6950052976608276,5.5346979934256524e-05
000000186296.jpg,0.6950079202651978,5.559468627325259e-05
000000186345.jpg,0.6949841380119324,5.588665226241574e-05
000000186422.jpg,0.6949819922447205,5.5758748203516006e-05
000000186449.jpg,0.6950094699859619,5.479552419274114e-05
000000186624.jpg,0.694983184337616,5.4870011808816344e-05
000000186632.jpg,0.695006251335144,5.558432167163119e-05
000000186637.jpg,0.6950065493583679,5.564895036513917e-05
000000186873.jpg,0.6950011253356934,5.5641372455284e-05
000000186929.jpg,0.6949976682662964,5.501091800397262e-05
000000186938.jpg,0.6949989795684814,5.576468538492918e-05
000000186980.jpg,0.694976270198822,5.584353857557289e-05
000000187055.jpg,0.6949816942214966,5.5877950217109174e-05
000000187144.jpg,0.694939911365509,5.499067992786877e-05
000000187236.jpg,0.6950337290763855,4.011917189927772e-05
000000187243.jpg,0.6949412226676941,5.4094765800982714e-05
000000187249.jpg,0.6950242519378662,5.320568016031757e-05
000000187271.jpg,0.6949998140335083,5.578534910455346e-05
000000187362.jpg,0.6949594020843506,5.593438254436478e-05
000000187513.jpg,0.6950019598007202,5.5724813137203455e-05
000000187585.jpg,0.6949995160102844,5.5498076108051464e-05
000000187734.jpg,0.6949858069419861,5.573725502472371e-05
000000187745.jpg,0.6949425935745239,5.596832124865614e-05
000000187990.jpg,0.6949612498283386,5.5899799917824566e-05
000000188296.jpg,0.6949600577354431,5.574847455136478e-05
000000188439.jpg,0.6949848532676697,5.5662254453636706e-05
000000188465.jpg,0.695022463798523,5.462676563183777e-05
000000188592.jpg,0.6949984431266785,5.563317972701043e-05
000000188689.jpg,0.6950180530548096,5.361393778002821e-05
000000188906.jpg,0.6949862241744995,5.5781740229576826e-05
000000189078.jpg,0.6949977874755859,5.5336546211037785e-05
000000189213.jpg,0.6950047612190247,5.5576630984432995e-05
000000189226.jpg,0.694987416267395,5.574301758315414e-05
000000189310.jpg,0.6949774026870728,5.252101618680172e-05
000000189436.jpg,0.6949878334999084,5.582367884926498e-05
000000189451.jpg,0.6950092911720276,5.556700489250943e-05
000000189475.jpg,0.6949875950813293,5.5736534704919904e-05
000000189698.jpg,0.6949995756149292,5.5269862059503794e-05
000000189752.jpg,0.6950041055679321,5.559245983022265e-05
000000189775.jpg,0.6949537992477417,5.592370143858716e-05
000000189806.jpg,0.6949671506881714,5.552447328227572e-05
000000189820.jpg,0.6949741840362549,5.5097159929573536e-05
000000189828.jpg,0.6949054598808289,5.624286859529093e-05
000000190007.jpg,0.6949605345726013,5.5897064157761633e-05
000000190140.jpg,0.6950144171714783,5.552738002734259e-05
000000190236.jpg,0.69499671459198,5.4131578508531675e-05
000000190307.jpg,0.6949267387390137,5.5937780416570604e-05
000000190637.jpg,0.6949712038040161,5.5521079048048705e-05
000000190648.jpg,0.6950278878211975,5.2547024097293615e-05
000000190676.jpg,0.6949688792228699,5.4333271691575646e-05
000000190753.jpg,0.6949962973594666,5.556469477596693e-05
000000190756.jpg,0.6949219107627869,5.6096992921084166e-05
000000190841.jpg,0.6949307918548584,5.597761628450826e-05
000000190853.jpg,0.6949940323829651,5.574448732659221e-05
000000190923.jpg,0.694994330406189,5.568463166127913e-05
000000191013.jpg,0.6949604749679565,5.59417785552796e-05
