,Min,Max,Median,Mean,Std
psnr,48.50980758666992,50.59191131591797,48.56714630126953,48.60850241088867,0.15401925420521684
mse,3.4903507184935734e-05,5.6374032283201814e-05,5.563464401348028e-05,5.5139403193606996e-05,1.7426648023370696e-06
ssim,0.9650952219963074,0.9999462962150574,0.9996871948242188,0.9985095262527466,0.003372018923982978
lpips,0.00011722467024810612,0.003146975301206112,0.0005070037441328168,0.0005772631998115685,0.00035311532598154035
