image_id,psnr,mse,ssim,lpips
000000173091.jpg,48.53353500366211,5.6066935940179974e-05,0.99989986,0.00038638937985524535
000000173183.jpg,48.59088134765625,5.533147123060189e-05,0.99975604,0.00018016796093434095
000000173302.jpg,48.57132339477539,5.558116754400544e-05,0.9995844,0.0007460569613613188
000000173371.jpg,48.54937744140625,5.586276529356837e-05,0.99981004,0.0002565173781476915
000000173383.jpg,48.58234405517578,5.5440319556510076e-05,0.99817246,0.0004217909008730203
000000173799.jpg,48.55332946777344,5.5811964557506144e-05,0.9999018,0.0002499344409443438
000000173830.jpg,48.53559112548828,5.604035686701536e-05,0.9998207,0.0006778574897907674
000000174004.jpg,48.575340270996094,5.552982838707976e-05,0.99986583,0.00026644833269529045
000000174018.jpg,48.56242370605469,5.569522545556538e-05,0.9999028,0.0002867420553229749
000000174123.jpg,48.55561065673828,5.57825987925753e-05,0.9997371,0.00022512857685796916
000000174231.jpg,48.661964416503906,5.443313784780912e-05,0.9961161,0.0005398025969043374
000000174371.jpg,48.58027648925781,5.5466716730734333e-05,0.99971724,0.0002288061223225668
000000174482.jpg,48.578948974609375,5.548370972974226e-05,0.9995411,0.0006304088165052235
000000175251.jpg,48.5625,5.5694217735435814e-05,0.99975723,0.0004014392616227269
000000175364.jpg,48.642364501953125,5.4679359891451895e-05,0.9997437,0.000433268491178751
000000175387.jpg,48.55622863769531,5.577470801654272e-05,0.9983247,0.00043216004269197583
000000175438.jpg,48.554359436035156,5.5798729590605944e-05,0.9998112,0.0004653959767892957
000000175443.jpg,48.58739471435547,5.537591641768813e-05,0.99882966,0.00035635195672512054
000000175535.jpg,48.552223205566406,5.5826210882514715e-05,0.99971193,0.00023340269399341196
000000176037.jpg,48.579490661621094,5.54767029825598e-05,0.9996912,0.000874740129802376
000000176232.jpg,48.809783935546875,5.2611569117289037e-05,0.9998781,0.0002373600291321054
000000176446.jpg,48.60618209838867,5.513686846825294e-05,0.9975509,0.000544485985301435
000000176606.jpg,48.556884765625,5.5766256991773844e-05,0.9998319,0.00029665828333236277
000000176634.jpg,48.55817794799805,5.57496641704347e-05,0.9998835,0.00024234471493400633
000000176701.jpg,48.562644958496094,5.569236964220181e-05,0.9997933,0.0007054309826344252
000000176778.jpg,48.566890716552734,5.563796003116295e-05,0.9988713,0.0008221394382417202
000000176799.jpg,48.57107162475586,5.558436896535568e-05,0.99963284,0.0005372630548663437
000000176847.jpg,48.5552978515625,5.5786658776924014e-05,0.99980634,0.00020651289378292859
000000176857.jpg,48.55525207519531,5.578724085353315e-05,0.99985963,0.0009384700679220259
000000176901.jpg,48.54777526855469,5.5883425375213847e-05,0.9998513,0.0008618209976702929
000000177015.jpg,48.58081817626953,5.545976455323398e-05,0.99924785,0.0007663315627723932
000000177065.jpg,48.55144119262695,5.583623351412825e-05,0.9997876,0.0001369351812172681
000000177213.jpg,48.7423095703125,5.343539669411257e-05,0.98771745,0.0005074480432085693
000000177357.jpg,48.547523498535156,5.5886568588903174e-05,0.9999196,0.0006144758081063628
000000177383.jpg,48.65404510498047,5.453251287690364e-05,0.9959562,0.0003798228863161057
000000177489.jpg,48.56041717529297,5.572095324168913e-05,0.9996276,0.0003713417099788785
000000177539.jpg,48.547813415527344,5.5882916058180854e-05,0.9996607,0.0004903795197606087
000000177714.jpg,48.93461227416992,5.112092912895605e-05,0.9951615,0.00019706611055880785
000000177861.jpg,48.56482696533203,5.5664433602942154e-05,0.9997087,0.0006966643850319088
000000177893.jpg,48.743743896484375,5.341779251466505e-05,0.9999024,0.0005650098319165409
000000177934.jpg,48.589176177978516,5.5353171774186194e-05,0.99962217,0.0003985108050983399
000000177935.jpg,48.55070495605469,5.584571044892073e-05,0.9998929,0.0006193275330588222
000000178028.jpg,48.664581298828125,5.440040695248172e-05,0.9934292,0.000617716577835381
000000178469.jpg,48.55583953857422,5.577968477155082e-05,0.99945736,0.0003549176617525518
000000178618.jpg,48.54973220825195,5.585817780229263e-05,0.999731,0.0007273579249158502
000000178744.jpg,48.56496810913086,5.566255276789889e-05,0.9998369,0.0005362963420338929
000000178982.jpg,48.68266677856445,5.4174335673451424e-05,0.99120903,0.0006884078029543161
000000179112.jpg,49.09614181518555,4.9254529585596174e-05,0.99019724,0.00020688552467618138
000000179141.jpg,49.18415451049805,4.8266330850310624e-05,0.97943574,0.0007246030145324767
000000179174.jpg,48.55455780029297,5.579611752182245e-05,0.99981254,0.0010732816299423575
000000179214.jpg,48.56037521362305,5.5721462558722124e-05,0.999849,0.0003126175724901259
000000179265.jpg,48.57368469238281,5.555091775022447e-05,0.9991999,0.000675035931635648
000000179285.jpg,48.56731414794922,5.563252489082515e-05,0.9997067,0.00011722467024810612
000000179392.jpg,48.69460678100586,5.4025578720029444e-05,0.99600315,0.0011184199247509241
000000179487.jpg,48.587562561035156,5.537372635444626e-05,0.9992409,0.0002538671833463013
000000179642.jpg,48.55997085571289,5.572669761022553e-05,0.9997189,0.00030745824915356934
000000179653.jpg,48.60247039794922,5.518397665582597e-05,0.99974823,0.0006470764637924731
000000179765.jpg,48.56379699707031,5.567757034441456e-05,0.9998889,0.0007650675834156573
000000179898.jpg,48.57231903076172,5.556845280807465e-05,0.9995398,0.000421980454120785
000000180011.jpg,48.566749572753906,5.563974264077842e-05,0.9998471,0.0007272856892086565
000000180101.jpg,48.61128234863281,5.50721597392112e-05,0.9952998,0.0003579593321774155
000000180135.jpg,50.59191131591797,3.4903507184935734e-05,0.983414,0.00027582875918596983
000000180188.jpg,48.824012756347656,5.243949999567121e-05,0.99975944,0.00095721724210307
000000180296.jpg,48.60165023803711,5.5194406741065904e-05,0.9979345,0.0009481392917223275
000000180383.jpg,48.57019805908203,5.5595555750187486e-05,0.9994693,0.000529422250110656
000000180487.jpg,48.592254638671875,5.531396163860336e-05,0.99965954,0.0004254421510268003
000000180560.jpg,48.59531021118164,5.5275053455261514e-05,0.9977355,0.0010132938623428345
000000180751.jpg,48.561485290527344,5.57072416995652e-05,0.99967533,0.00043105473741889
000000180792.jpg,48.5487060546875,5.5871380027383566e-05,0.9997862,0.0006493383552879095
000000180798.jpg,48.551536560058594,5.583498204941861e-05,0.99981743,0.0002820172521751374
000000180878.jpg,48.692054748535156,5.405733099905774e-05,0.99007815,0.0006652816664427519
000000181303.jpg,48.569618225097656,5.5603064538445324e-05,0.99981576,0.0005864334525540471
000000181421.jpg,48.55974197387695,5.57296079932712e-05,0.99988365,0.0008087216410785913
000000181499.jpg,48.56639862060547,5.5644253734499216e-05,0.9995089,0.00037610105937346816
000000181542.jpg,48.588340759277344,5.536382013815455e-05,0.9995044,0.0006659284699708223
000000181666.jpg,48.655059814453125,5.451979814097285e-05,0.9985965,0.00035222931182943285
000000181753.jpg,48.56712341308594,5.563496597460471e-05,0.9990792,0.000725986436009407
000000181796.jpg,48.55992126464844,5.572725785896182e-05,0.9996896,0.0005536054377444088
000000181816.jpg,48.54460144042969,5.592419984168373e-05,0.9999213,0.00040483594057150185
000000181859.jpg,48.548072814941406,5.587949635810219e-05,0.9995377,0.00014272125554271042
000000181969.jpg,48.57665252685547,5.551303911488503e-05,0.9936245,0.0002472475462127477
000000182021.jpg,48.54198455810547,5.5957916629267856e-05,0.99985766,0.0004987585125491023
000000182155.jpg,48.55458068847656,5.579584831139073e-05,0.9983948,0.00026169378543272614
000000182162.jpg,48.56467819213867,5.566629988607019e-05,0.99890304,0.0002717277384363115
000000182202.jpg,48.54347229003906,5.5938780860742554e-05,0.99978846,0.0005491506308317184
000000182417.jpg,48.54583740234375,5.5908309150254354e-05,0.99916315,0.0005411576712504029
000000182441.jpg,48.53507614135742,5.6047058023978025e-05,0.9999463,0.0006883491296321154
000000182611.jpg,48.57684326171875,5.551060166908428e-05,0.9997377,0.0005789660499431193
000000182805.jpg,48.569602966308594,5.560317003983073e-05,0.9996357,0.0005739314947277308
